Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Seasonality,Preparation Method,Wastage Food Amount
Fruits,320,Corporate,400,Room Temperature,Summer,Finger Food,25
Meat,250,Wedding,350,Room Temperature,Winter,Sit-down Dinner,25
Baked Goods,400,Corporate,500,Room Temperature,Summer,Finger Food,40
Fruits,280,Corporate,350,Refrigerated,Winter,Sit-down Dinner,25
Fruits,320,Wedding,400,Room Temperature,Summer,Sit-down Dinner,35
Vegetables,320,Social Gathering,400,Refrigerated,Winter,Buffet,30
Meat,220,Corporate,300,Room Temperature,Winter,Finger Food,15
Fruits,350,Birthday,450,Refrigerated,Summer,Sit-down Dinner,25
Baked Goods,400,Wedding,500,Room Temperature,Winter,Finger Food,40
Fruits,350,Birthday,450,Room Temperature,Winter,Sit-down Dinner,40
Meat,350,Corporate,450,Refrigerated,All Seasons,Sit-down Dinner,30
Baked Goods,300,Wedding,400,Room Temperature,Summer,Finger Food,15
Meat,350,Wedding,450,Room Temperature,Summer,Sit-down Dinner,25
Vegetables,400,Wedding,500,Refrigerated,Summer,Sit-down Dinner,40
Vegetables,280,Birthday,350,Refrigerated,All Seasons,Finger Food,20
Fruits,310,Corporate,350,Room Temperature,All Seasons,Finger Food,35
Vegetables,220,Social Gathering,300,Refrigerated,Summer,Finger Food,15
Baked Goods,350,Corporate,450,Room Temperature,All Seasons,Buffet,30
Fruits,380,Social Gathering,480,Refrigerated,Summer,Buffet,30
Fruits,300,Social Gathering,400,Room Temperature,Winter,Buffet,30
Dairy Products,284,Birthday,443,Room Temperature,All Seasons,Buffet,32
Baked Goods,320,Wedding,400,Room Temperature,Summer,Finger Food,25
Vegetables,350,Corporate,450,Refrigerated,Winter,Sit-down Dinner,25
Fruits,250,Wedding,350,Room Temperature,Winter,Sit-down Dinner,20
Vegetables,400,Wedding,500,Room Temperature,Summer,Sit-down Dinner,40
Baked Goods,350,Wedding,450,Room Temperature,Winter,Sit-down Dinner,45
Fruits,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,50
Baked Goods,320,Social Gathering,400,Room Temperature,All Seasons,Buffet,30
Meat,280,Social Gathering,350,Refrigerated,All Seasons,Finger Food,20
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,45
Vegetables,220,Social Gathering,450,Refrigerated,Summer,Finger Food,30
Fruits,400,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,45
Baked Goods,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,230,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,20
Dairy Products,438,Wedding,493,Room Temperature,Summer,Sit-down Dinner,35
Vegetables,300,Social Gathering,400,Refrigerated,Summer,Sit-down Dinner,35
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Buffet,30
Fruits,280,Social Gathering,350,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,350,Birthday,450,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Finger Food,15
Vegetables,280,Corporate,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,250,Corporate,350,Room Temperature,Winter,Sit-down Dinner,25
Baked Goods,220,Birthday,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,342,Corporate,405,Room Temperature,All Seasons,Finger Food,29
Baked Goods,380,Social Gathering,480,Room Temperature,Winter,Buffet,30
Dairy Products,300,Birthday,400,Room Temperature,All Seasons,Finger Food,25
Baked Goods,280,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Baked Goods,350,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,25
Baked Goods,300,Corporate,400,Room Temperature,All Seasons,Buffet,40
Meat,300,Social Gathering,400,Refrigerated,Winter,Sit-down Dinner,35
Fruits,400,Social Gathering,500,Refrigerated,Winter,Sit-down Dinner,25
Fruits,300,Birthday,400,Room Temperature,Summer,Sit-down Dinner,15
Fruits,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,50
Dairy Products,400,Wedding,500,Room Temperature,Winter,Sit-down Dinner,50
Vegetables,280,Birthday,480,Room Temperature,All Seasons,Sit-down Dinner,15
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,280,Birthday,350,Room Temperature,Winter,Finger Food,20
Dairy Products,250,Corporate,350,Room Temperature,Winter,Finger Food,20
Dairy Products,280,Corporate,350,Room Temperature,All Seasons,Finger Food,20
Dairy Products,250,Wedding,350,Room Temperature,Winter,Sit-down Dinner,25
Baked Goods,380,Social Gathering,480,Room Temperature,Winter,Buffet,30
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,40
Baked Goods,250,Corporate,350,Room Temperature,Summer,Sit-down Dinner,20
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Buffet,30
Baked Goods,400,Social Gathering,500,Room Temperature,Summer,Sit-down Dinner,50
Baked Goods,290,Social Gathering,374,Room Temperature,All Seasons,Finger Food,27
Dairy Products,350,Wedding,450,Room Temperature,Summer,Sit-down Dinner,35
Baked Goods,491,Social Gathering,497,Room Temperature,All Seasons,Finger Food,32
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,30
Baked Goods,247,Corporate,348,Room Temperature,All Seasons,Finger Food,16
Dairy Products,400,Birthday,500,Room Temperature,All Seasons,Sit-down Dinner,45
Fruits,250,Social Gathering,350,Refrigerated,All Seasons,Sit-down Dinner,25
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Sit-down Dinner,15
Baked Goods,320,Social Gathering,400,Room Temperature,Winter,Sit-down Dinner,40
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,Sit-down Dinner,40
Baked Goods,250,Wedding,350,Room Temperature,All Seasons,Sit-down Dinner,20
Baked Goods,250,Birthday,350,Room Temperature,All Seasons,Sit-down Dinner,20
Meat,284,Birthday,443,Refrigerated,Summer,Buffet,32
Meat,280,Corporate,350,Refrigerated,Winter,Buffet,20
Meat,300,Wedding,400,Refrigerated,Winter,Buffet,20
Meat,300,Corporate,400,Refrigerated,Winter,Buffet,40
Meat,310,Corporate,450,Refrigerated,All Seasons,Buffet,25
Meat,412,Wedding,478,Refrigerated,Winter,Sit-down Dinner,38
Meat,434,Wedding,495,Refrigerated,Summer,Sit-down Dinner,36
Meat,250,Birthday,350,Refrigerated,Summer,Finger Food,30
Meat,400,Corporate,500,Refrigerated,Winter,Sit-down Dinner,50
Fruits,280,Birthday,350,Room Temperature,Summer,Finger Food,20
Meat,300,Social Gathering,400,Refrigerated,Winter,Buffet,20
Meat,300,Wedding,400,Room Temperature,Winter,Sit-down Dinner,20
Meat,400,Wedding,500,Refrigerated,Winter,Sit-down Dinner,40
Meat,320,Social Gathering,400,Room Temperature,Winter,Buffet,30
Meat,250,Social Gathering,350,Refrigerated,All Seasons,Buffet,10
Vegetables,320,Corporate,400,Refrigerated,All Seasons,Buffet,30
Meat,300,Social Gathering,400,Room Temperature,Winter,Buffet,20
Meat,320,Corporate,400,Room Temperature,Winter,Finger Food,25
Fruits,400,Birthday,500,Refrigerated,Winter,Sit-down Dinner,40
Meat,310,Social Gathering,450,Refrigerated,Summer,Finger Food,25
Fruits,250,Wedding,350,Room Temperature,All Seasons,Finger Food,30
Meat,300,Corporate,400,Refrigerated,Summer,Finger Food,25
Vegetables,300,Birthday,400,Refrigerated,Winter,Finger Food,15
Vegetables,280,Corporate,480,Refrigerated,Winter,Sit-down Dinner,15
Baked Goods,434,Wedding,495,Room Temperature,Summer,Sit-down Dinner,36
Fruits,280,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Fruits,400,Corporate,350,Room Temperature,Winter,Sit-down Dinner,35
Baked Goods,300,Social Gathering,400,Room Temperature,Winter,Buffet,30
Meat,350,Wedding,450,Refrigerated,All Seasons,Sit-down Dinner,45
Meat,250,Wedding,350,Refrigerated,All Seasons,Sit-down Dinner,20
Meat,230,Wedding,500,Refrigerated,All Seasons,Sit-down Dinner,30
Meat,220,Social Gathering,300,Room Temperature,Winter,Finger Food,15
Baked Goods,380,Corporate,500,Room Temperature,Winter,Sit-down Dinner,35
Fruits,280,Corporate,350,Room Temperature,All Seasons,Finger Food,20
Fruits,300,Social Gathering,400,Room Temperature,All Seasons,Buffet,30
Baked Goods,400,Wedding,500,Room Temperature,Winter,Sit-down Dinner,50
Baked Goods,400,Wedding,500,Room Temperature,Winter,Sit-down Dinner,50
Dairy Products,280,Birthday,350,Room Temperature,Summer,Finger Food,20
Baked Goods,300,Birthday,400,Room Temperature,All Seasons,Finger Food,20
Baked Goods,280,Social Gathering,350,Room Temperature,Summer,Finger Food,20
Meat,350,Social Gathering,450,Room Temperature,Winter,Sit-down Dinner,45
Vegetables,300,Wedding,400,Refrigerated,Winter,Sit-down Dinner,25
Meat,320,Social Gathering,400,Room Temperature,Winter,Finger Food,25
Dairy Products,230,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,30
Dairy Products,250,Social Gathering,350,Room Temperature,All Seasons,Sit-down Dinner,20
Meat,300,Corporate,400,Refrigerated,Summer,Buffet,20
Meat,320,Social Gathering,400,Room Temperature,Winter,Finger Food,25
Fruits,350,Social Gathering,450,Room Temperature,All Seasons,Finger Food,10
Dairy Products,250,Social Gathering,350,Room Temperature,Summer,Finger Food,35
Dairy Products,350,Corporate,450,Room Temperature,Winter,Sit-down Dinner,45
Fruits,350,Wedding,450,Room Temperature,Summer,Buffet,40
Vegetables,350,Corporate,450,Refrigerated,Summer,Buffet,40
Fruits,250,Wedding,400,Refrigerated,Winter,Sit-down Dinner,25
Fruits,320,Wedding,400,Refrigerated,Summer,Finger Food,25
Meat,267,Birthday,393,Refrigerated,Summer,Sit-down Dinner,24
Fruits,400,Corporate,500,Refrigerated,Summer,Sit-down Dinner,25
Fruits,350,Corporate,350,Room Temperature,Winter,Finger Food,54
Meat,300,Corporate,400,Refrigerated,Winter,Finger Food,20
Fruits,439,Birthday,459,Room Temperature,All Seasons,Buffet,36
Baked Goods,275,Wedding,388,Room Temperature,Winter,Finger Food,16
Vegetables,320,Social Gathering,400,Refrigerated,Winter,Buffet,30
Fruits,250,Corporate,480,Room Temperature,Winter,Finger Food,20
Fruits,300,Wedding,400,Room Temperature,Summer,Finger Food,15
Vegetables,220,Corporate,300,Room Temperature,Summer,Finger Food,15
Meat,350,Wedding,450,Refrigerated,All Seasons,Sit-down Dinner,35
Baked Goods,250,Corporate,480,Room Temperature,Winter,Finger Food,20
Vegetables,280,Wedding,350,Room Temperature,Summer,Sit-down Dinner,20
Dairy Products,320,Birthday,480,Room Temperature,Winter,Buffet,40
Vegetables,230,Wedding,500,Refrigerated,Summer,Sit-down Dinner,30
Vegetables,250,Birthday,350,Refrigerated,Summer,Sit-down Dinner,40
Vegetables,300,Social Gathering,400,Refrigerated,Summer,Buffet,30
Vegetables,261,Wedding,350,Refrigerated,Winter,Sit-down Dinner,23
Fruits,300,Corporate,450,Room Temperature,Winter,Finger Food,35
Dairy Products,280,Birthday,350,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,320,Wedding,400,Room Temperature,All Seasons,Finger Food,25
Baked Goods,261,Birthday,350,Room Temperature,Summer,Sit-down Dinner,24
Dairy Products,380,Corporate,480,Room Temperature,All Seasons,Buffet,30
Baked Goods,220,Social Gathering,300,Room Temperature,Summer,Finger Food,15
Fruits,250,Social Gathering,350,Room Temperature,Summer,Finger Food,30
Vegetables,429,Wedding,496,Refrigerated,Summer,Sit-down Dinner,42
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,Buffet,30
Baked Goods,300,Corporate,400,Room Temperature,Summer,Finger Food,15
Dairy Products,320,Corporate,400,Room Temperature,Winter,Buffet,25
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,45
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,400,Social Gathering,500,Room Temperature,All Seasons,Sit-down Dinner,50
Meat,491,Wedding,497,Refrigerated,Summer,Finger Food,32
Meat,250,Corporate,350,Refrigerated,Winter,Buffet,10
Baked Goods,280,Wedding,350,Room Temperature,Winter,Finger Food,15
Meat,438,Birthday,493,Room Temperature,Winter,Sit-down Dinner,35
Baked Goods,472,Social Gathering,489,Room Temperature,Winter,Buffet,36
Baked Goods,491,Birthday,497,Room Temperature,All Seasons,Finger Food,32
Baked Goods,400,Corporate,500,Room Temperature,Summer,Sit-down Dinner,40
Baked Goods,300,Birthday,400,Room Temperature,Summer,Sit-down Dinner,20
Vegetables,320,Wedding,400,Refrigerated,All Seasons,Sit-down Dinner,35
Vegetables,250,Corporate,350,Refrigerated,Winter,Finger Food,20
Dairy Products,400,Wedding,500,Room Temperature,All Seasons,Finger Food,40
Dairy Products,280,Birthday,350,Room Temperature,All Seasons,Finger Food,15
Baked Goods,280,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,40
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,45
Dairy Products,400,Birthday,500,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,280,Birthday,350,Room Temperature,All Seasons,Finger Food,20
Dairy Products,400,Corporate,500,Room Temperature,Winter,Sit-down Dinner,50
Baked Goods,350,Corporate,450,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,400,Wedding,500,Room Temperature,All Seasons,Finger Food,40
Fruits,250,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Baked Goods,292,Corporate,470,Room Temperature,All Seasons,Sit-down Dinner,50
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,40
Baked Goods,320,Social Gathering,400,Room Temperature,Summer,Finger Food,25
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Baked Goods,450,Social Gathering,500,Room Temperature,All Seasons,Finger Food,30
Fruits,280,Social Gathering,350,Room Temperature,Summer,Finger Food,20
Meat,380,Corporate,480,Refrigerated,Winter,Buffet,30
Meat,320,Wedding,400,Refrigerated,Winter,Finger Food,25
Meat,207,Corporate,280,Refrigerated,Winter,Finger Food,20
Meat,491,Birthday,497,Room Temperature,Winter,Finger Food,38
Meat,267,Corporate,393,Refrigerated,Summer,Sit-down Dinner,24
Dairy Products,280,Corporate,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,280,Corporate,350,Room Temperature,All Seasons,Finger Food,20
Dairy Products,280,Corporate,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,50
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,Finger Food,20
Dairy Products,280,Social Gathering,350,Room Temperature,Summer,Finger Food,20
Baked Goods,491,Social Gathering,497,Room Temperature,All Seasons,Finger Food,32
Dairy Products,438,Corporate,493,Room Temperature,All Seasons,Sit-down Dinner,35
Dairy Products,350,Corporate,450,Room Temperature,All Seasons,Sit-down Dinner,25
Baked Goods,442,Social Gathering,482,Room Temperature,All Seasons,Sit-down Dinner,32
Meat,270,Corporate,470,Refrigerated,Winter,Sit-down Dinner,40
Meat,284,Social Gathering,443,Refrigerated,Winter,Buffet,32
Meat,250,Wedding,400,Refrigerated,Winter,Sit-down Dinner,25
Meat,320,Corporate,400,Refrigerated,Summer,Finger Food,25
Meat,220,Wedding,300,Refrigerated,Winter,Finger Food,15
Meat,367,Social Gathering,420,Refrigerated,All Seasons,Buffet,40
Meat,434,Birthday,495,Refrigerated,Winter,Sit-down Dinner,36
Meat,280,Corporate,350,Refrigerated,Summer,Finger Food,20
Meat,240,Birthday,450,Refrigerated,All Seasons,Sit-down Dinner,20
Fruits,380,Birthday,480,Room Temperature,Winter,Buffet,30
Dairy Products,320,Birthday,400,Room Temperature,Summer,Buffet,40
Fruits,250,Social Gathering,480,Refrigerated,Winter,Finger Food,20
Fruits,302,Corporate,371,Room Temperature,All Seasons,Buffet,27
Fruits,300,Wedding,400,Room Temperature,Winter,Sit-down Dinner,40
Vegetables,267,Corporate,393,Refrigerated,Summer,Sit-down Dinner,24
Fruits,320,Corporate,400,Room Temperature,All Seasons,Buffet,25
Baked Goods,488,Corporate,498,Room Temperature,Winter,Finger Food,63
Meat,350,Corporate,450,Room Temperature,Winter,Sit-down Dinner,45
Fruits,300,Social Gathering,400,Refrigerated,All Seasons,Buffet,40
Vegetables,300,Birthday,400,Refrigerated,Summer,Finger Food,15
Dairy Products,472,Birthday,489,Room Temperature,All Seasons,Buffet,36
Fruits,380,Corporate,480,Refrigerated,All Seasons,Buffet,30
Vegetables,429,Wedding,496,Refrigerated,All Seasons,Sit-down Dinner,42
Baked Goods,220,Birthday,300,Refrigerated,All Seasons,Finger Food,15
Meat,220,Social Gathering,300,Room Temperature,Summer,Finger Food,15
Fruits,350,Corporate,450,Refrigerated,Winter,Sit-down Dinner,30
Dairy Products,250,Corporate,350,Room Temperature,Winter,Finger Food,30
Fruits,230,Wedding,500,Room Temperature,Winter,Sit-down Dinner,30
Dairy Products,320,Social Gathering,400,Room Temperature,Summer,Buffet,30
Meat,320,Corporate,400,Refrigerated,Winter,Buffet,45
Meat,310,Wedding,450,Refrigerated,Summer,Buffet,25
Fruits,491,Birthday,497,Refrigerated,Winter,Finger Food,32
Meat,491,Birthday,497,Refrigerated,Summer,Finger Food,32
Meat,280,Birthday,350,Refrigerated,Summer,Finger Food,20
Meat,292,Corporate,470,Refrigerated,Winter,Sit-down Dinner,50
Vegetables,300,Wedding,400,Refrigerated,Summer,Buffet,30
Baked Goods,320,Birthday,400,Room Temperature,Winter,Buffet,30
Fruits,310,Corporate,350,Room Temperature,Summer,Finger Food,35
Vegetables,280,Social Gathering,350,Refrigerated,Summer,Buffet,20
Meat,320,Social Gathering,400,Refrigerated,All Seasons,Buffet,30
Meat,300,Corporate,400,Refrigerated,Summer,Finger Food,25
Vegetables,380,Wedding,500,Refrigerated,Winter,Sit-down Dinner,35
Fruits,380,Birthday,480,Refrigerated,All Seasons,Buffet,30
Fruits,400,Wedding,500,Room Temperature,Winter,Sit-down Dinner,45
Fruits,350,Wedding,450,Refrigerated,All Seasons,Sit-down Dinner,35
Meat,320,Birthday,400,Refrigerated,Summer,Finger Food,20
Meat,350,Wedding,450,Refrigerated,All Seasons,Sit-down Dinner,35
Fruits,429,Wedding,496,Room Temperature,Summer,Sit-down Dinner,42
Vegetables,350,Corporate,450,Refrigerated,Summer,Sit-down Dinner,35
Fruits,491,Birthday,497,Room Temperature,All Seasons,Finger Food,32
Meat,350,Birthday,450,Room Temperature,Winter,Sit-down Dinner,25
Meat,491,Social Gathering,497,Room Temperature,Winter,Finger Food,32
Baked Goods,310,Corporate,350,Room Temperature,Summer,Finger Food,35
Baked Goods,284,Social Gathering,443,Room Temperature,Winter,Buffet,32
Fruits,220,Wedding,300,Room Temperature,All Seasons,Finger Food,15
Fruits,250,Wedding,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,400,Wedding,500,Room Temperature,Winter,Sit-down Dinner,45
